O*NET-SOC Code,Artistic,Conventional,Enterprising,Investigative,Realistic,Social
19-1031.02,1.33,3.67,4.67,6.0,6.0,1.67
19-1031.03,4.33,1.67,3.67,3.67,4.67,7.0
19-1032.00,1.33,3.0,4.0,5.67,6.67,2.33
19-1041.00,1.67,3.33,3.0,7.0,3.67,4.0
19-1042.00,4.33,2.33,1.67,7.0,4.33,4.0
19-2011.00,5.0,2.67,1.67,7.0,4.67,2.67
19-2012.00,3.33,3.0,2.0,7.0,4.0,1.0
19-2021.00,2.33,3.67,3.0,6.67,4.33,3.67
19-2031.00,2.0,3.33,2.0,7.0,4.0,1.0
19-2032.00,2.67,3.33,3.67,7.0,5.0,1.33
19-2041.00,3.33,4.0,1.67,7.0,5.33,1.67
19-2041.01,2.67,3.0,4.67,6.0,2.0,2.0
19-2041.02,2.33,2.33,5.33,6.0,6.0,2.0
19-2041.03,2.33,2.67,4.0,6.67,2.33,1.67
19-2042.00,3.0,3.33,2.33,7.0,5.0,1.33
19-2043.00,3.0,3.0,2.67,7.0,5.33,1.33
19-2099.01,2.33,3.33,1.67,6.0,6.33,1.0
19-3011.00,2.67,4.67,4.0,7.0,2.33,1.67
19-3011.01,2.0,3.33,3.67,7.0,1.33,2.0
19-3022.00,2.0,5.0,4.67,6.67,1.0,1.33
19-3032.00,4.0,2.67,5.33,6.33,1.0,4.0
19-3033.00,4.67,2.0,2.67,6.33,1.5,6.17
19-3034.00,3.67,3.67,1.67,7.0,1.33,6.0
19-3041.00,5.33,2.67,1.67,7.0,1.67,4.67
19-3051.00,4.0,3.0,4.67,6.67,3.0,2.0
19-3091.00,5.0,3.5,2.33,6.83,4.0,2.83
19-3092.00,4.0,3.33,1.0,7.0,4.67,2.67
19-3093.00,2.67,3.0,2.67,6.67,1.0,2.67
19-3094.00,5.33,2.0,2.33,7.0,1.67,4.33
19-3099.01,2.67,4.0,2.33,6.33,3.67,1.67
19-4012.00,1.0,4.33,2.33,5.0,6.33,1.33
19-4012.01,1.67,4.67,2.67,5.67,6.0,1.0
19-4013.00,1.67,5.0,1.67,5.0,5.67,1.0
19-4021.00,1.33,4.67,2.33,5.0,6.33,1.67
19-4031.00,1.33,4.0,2.0,6.0,5.67,1.0
19-4042.00,1.33,3.67,2.33,6.0,5.33,1.33
19-4043.00,1.17,5.17,2.17,5.33,5.83,1.17
19-4051.00,1.67,5.33,2.0,5.0,7.0,1.33
19-4051.02,1.33,5.33,3.33,4.67,6.33,1.33
19-4061.00,2.33,6.33,2.0,5.0,1.67,2.67
19-4071.00,2.67,3.0,4.0,4.0,5.33,3.33
19-4092.00,2.33,5.0,1.33,6.67,5.33,1.33
19-4099.01,1.33,6.33,2.67,5.33,4.67,1.0
19-4099.03,1.67,4.67,2.0,5.67,6.67,2.0
19-5011.00,1.33,5.33,2.67,6.67,4.0,4.0
19-5012.00,1.33,7.0,3.0,4.0,5.0,3.33
21-1011.00,4.33,2.0,3.0,4.0,1.33,7.0
21-1012.00,3.67,3.33,3.67,3.33,1.0,7.0
21-1013.00,4.33,2.33,2.67,4.0,1.0,7.0
21-1014.00,4.0,2.33,2.33,4.67,1.33,7.0
21-1015.00,3.67,3.33,3.33,4.0,1.0,7.0
21-1021.00,3.67,3.0,4.33,3.33,1.0,7.0
21-1022.00,3.33,3.0,3.33,4.0,1.0,7.0
